model,accuracy,precision,recall,f1,accuracy_with_negation,accuracy_without_negation,best_epoch,best_validation_loss,training_seconds,inference_seconds,seconds_per_example,trainable_parameters
Count BoW,0.8963431029846733,0.8743680485338726,0.9266005893383338,0.8997268825595006,0.8937651331719129,0.9168674698795181,1,0.26469126621132755,15.600112709013047,0.7176136250200216,9.731673786547621e-05,640194
Binary BoW,0.8954019897821995,0.9016036966567001,0.8885614787034557,0.8950350782514841,0.8924031476997578,0.9192771084337349,1,0.2513118775067301,13.095321708009578,0.5724409589893185,7.762963913606163e-05,640194
LSTM,0.8609841355203012,0.854292465213967,0.8716849718724886,0.8629010872447627,0.8554782082324455,0.9048192771084337,6,0.33499676452846205,1162.6562624999788,2.970487874990795,0.0004028326383225922,673410
